"","player_id","full","position","team","opp","team_game_number","game_id","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"47",842605,"HOMAN Rachel","F","CAN","NOR",2,"746367","Round-Robin",15,85,14,84,1,100,5,80,10,88
"48",338028,"MORRIS John","M","CAN","NOR",2,"746367","Round-Robin",23,78,14,86,9,67,13,83,10,73
"49",1149959,"PERRET Jenny","F","SUI","GBR",3,"746333","Round-Robin",15,63,13,69,2,25,6,58,9,67
"50",760837,"RIOS Martin","M","SUI","GBR",3,"746333","Round-Robin",24,78,13,71,11,86,10,60,14,91
"51",1149957,"DODDS Jennifer","F","GBR","SUI",3,"746333","Round-Robin",16,78,14,82,2,50,7,68,9,86
"52",1366641,"MOUAT Bruce","M","GBR","SUI",3,"746333","Round-Robin",24,74,18,79,6,58,11,73,13,75
"53",2272511,"FAN Suyuan","F","CHN","SWE",3,"746334","Round-Robin",15,72,13,67,2,100,5,75,10,70
"54",1245715,"LING Zhi","M","CHN","SWE",3,"746334","Round-Robin",24,86,18,93,6,67,13,85,11,89
"55",1245672,"DE VAL Almida","F","SWE","CHN",3,"746334","Round-Robin",16,67,13,67,3,67,2,50,14,70
"56",721971,"ERIKSSON Oskar","M","SWE","CHN",3,"746334","Round-Robin",23,86,17,87,6,83,7,96,16,81
"57",1245672,"DE VAL Almida","F","SWE","AUS",4,"746360","Round-Robin",16,75,13,81,3,50,7,79,9,72
"58",721971,"ERIKSSON Oskar","M","SWE","AUS",4,"746360","Round-Robin",24,84,17,87,7,79,13,87,11,82
"59",1929264,"GILL Tahli","F","AUS","SWE",4,"746360","Round-Robin",16,69,12,81,4,31,7,68,9,69
"60",1323453,"HEWITT Dean","M","AUS","SWE",4,"746360","Round-Robin",24,75,16,73,8,78,13,69,11,82
"61",842605,"HOMAN Rachel","F","CAN","SUI",3,"746340","Round-Robin",16,78,13,81,3,67,8,72,8,84
"62",338028,"MORRIS John","M","CAN","SUI",3,"746340","Round-Robin",24,89,17,91,7,82,12,94,12,83
"63",1149959,"PERRET Jenny","F","SUI","CAN",4,"746340","Round-Robin",16,63,15,60,1,100,10,50,6,83
"64",760837,"RIOS Martin","M","SUI","CAN",4,"746340","Round-Robin",24,71,18,72,6,67,9,72,15,70
"65",1475582,"CONSTANTINI Stefania","F","ITA","NOR",3,"746372","Round-Robin",15,75,12,69,3,100,5,100,10,63
"66",1022627,"MOSANER Amos","M","ITA","NOR",3,"746372","Round-Robin",24,73,16,80,8,59,14,68,10,80
